Accessories	Cable Tray	Cable-management tray for routing, supporting, and protecting AC, DC, data, or control cables.
Accessories	AC Cable Accessories and Connectors	AC cable terminations and installation accessories, including lugs, glands, conduits, connectors, labels, and related fittings.
Accessories	DC/PV Accessories and Connectors	PV and DC installation accessories, including MC4-type connectors, lugs, glands, conduits, cable ties, labels, and related fittings.
Accessories	Solar Accessories Package	General solar installation accessories required to complete the system, excluding separately priced major equipment.
Accessories	ONCCY Electrical Accessories	ONCCY-branded electrical accessories and protection components used in the solar installation.
Accessories	PV Combiner Box	DC combiner box for combining PV strings and housing suitable DC isolation, fuse, breaker, and surge-protection components.
Accessories	AC Meter and Data Cable	AC energy meter supplied with the required communication/data cable for monitoring, control, or zero-export operation.
Accessories	AC Circuit Breaker	AC circuit breaker selected to protect inverter output circuits, grid/generator inputs, and distribution connections against overload and short circuit.
Accessories	ATS / Changeover Switch	Automatic transfer or changeover device for switching the load between grid, generator, inverter, or other available power sources.
Accessories	AC Surge Protection Device	AC surge protection device for protecting inverter and distribution equipment against transient overvoltage.
Accessories	ABB 4-Pole Surge Protection Device	ABB four-pole surge protection device for three-phase AC systems with neutral.
Earthing System	Earthing System	Complete grounding system including earthing cable, earth rod or rods, clamps, and soil-treatment materials such as coal and salt where required.
Lightning System	Lightning Protection System	Lightning-protection arrangement for the solar installation, including suitable air terminals, down conductors, bonding, and grounding connection as required.
Accessories	Electrical Meter	Electrical energy or power meter used for system measurement, monitoring, control, or export limitation.
Accessories	Zero Export Controller	Meter/controller system that prevents solar power from being exported back to the utility grid.
Installation	Complete On-Grid PV System	Complete on-grid solar package combining the required inverter capacity, solar panels, mounting structure, cables, protection equipment, monitoring, and installation.
Installation	Complete System Installation and Commissioning	Complete mechanical and electrical installation, testing, inverter configuration, commissioning, and handover of the solar system.
Installation	Electrical Installation	Electrical installation of solar-system components, including AC/DC wiring, terminations, protection equipment, connection, testing, and workmanship.
Delivery	Delivery and Transportation	Transportation and delivery of equipment and materials to the project or work site.
Installation / Delivery	Dismantling, Reinstallation and Transportation	Removal of an existing system or equipment, transportation, and installation of the new or relocated equipment.
Installation	Civil Works	Required non-electrical site works such as concrete bases, trenching, supports, openings, repair, and related construction activities.
Installation	One-Year Maintenance	One year of scheduled or corrective maintenance support according to the quotation terms and exclusions.
Installation	Material and Electrical Fee	General charge covering electrical materials, consumables, and associated electrical work not itemized separately.
Installation	BYD EV Charger Installation	Supply of required accessories and installation/connection of a BYD electric-vehicle charger.
Battery Control	Battery Control	Deye Battery Control
Battery Rack	Battery Rack	Battery Rack for Deye Lithium batteries
Batteries	Battery Tubular	Tubular Technology12VDC,200Ah, C10, Net Weight: 69 KgLife cycle > 1250 Cycle @ DOD 80% @ 25°C
Battery Control	BMS	BMS for Lithium batteries
Battery Control	Controll BOX DEYE	BMS For Deye Lithum Batteries
Lithium Battery	Deye Litihum Battery	DEYE Lithium Battery Module High Voltage, Remaining Capacity 80% > 6000 Cycle @ DOD 80% @ 25°C
Lithium Battery	GBB 15.3kw Lithium battery	IP65, 16 Cells, C1, 6000 Cycle at 80% DOD, Nominal capacity 300Ah, Nominal voltage 48VDC, Maximum charging current 150A, Maximum discharge current 150A, LED screen, can connect in…
Lithium Battery	Litihum Battery	15KW Lithium battery, Remaining Capacity 80% > 6000 Cycle @ DOD 80% @ 25°C
Battery Rack	Rack 12-DEYE	Rack 12-DEYE
Lithium Battery	Roypow 16kw Lithium battery	IP65, 16 Cells, C1, 6000 Cycle at 80% DOD, Nominal capacity 314Ah, Nominal voltage 48VDC, Maximum charging current 150A, Maximum discharge current 150A, LED screen, can connect in…
Batteries	Tubular Battery	Tubular Technology12VDC,200Ah, C10, Net Weight: 69 KgLife cycle > 1250 Cycle @ DOD 80% @ 25°C
Accessories	AC Accessories	AC cable with accessories
Accessories	AC Cables	
