Solar Inverter	Solar Inverter Giant 50K	Giant On-Grid 50KW inverter IP65 Ingress Protection, Max Efficiency 97.5% MPPT Solar input, High Surge endurance Zero Export, High Power FactorRS485/RS232, WIFI Monitor and Control
Solar Inverter	Solar Inverter Giant 5KW - HD	IP65, Aluminum case, Wi-Fi, and mobile application. RS485 CAN Connect in parallel up to 16 units 1Ph/3Ph. Lead-acid or Li-Ion,40-60 VDC Charging current 115 A, 3 Stage / Equalizat…
Solar Inverter	Solar Inverter Giant HD-100KW	Giant HD-100K Three phase IP65, Wi-Fi and mobile application.Connect in parallel to units. Lead-acid or Li-Ion , 3 Stage / Equalization, Battery Temperature sensor, Self-adaption…
Solar Inverter	Solar Inverter Giant HD-12Kw	IP65, Aluminum case, Wi-Fi, and mobile application. RS485 CAN Connect in parallel up to 16 units Single Phase. Lead-acid or Li-Ion,40-60 VDC Charging current 240 A, 3 Stage / Equa…
Solar Inverter	Solar Inverter Giant HD-12KW For option 1	Giant HD-12K IP65, Wi-Fi and mobile application.Connect in parallel to units. Lead-acid or Li-Ion , 3 Stage / Equalization, Battery Temperature sensor, Self-adaption to BMS, effic…
Solar Inverter	Solar Inverter Giant HD-16Kw	Giant HD-16K IP65, Wi-Fi and mobile application.Connect in parallel. Lead-acid or Li-Ion , 3 Stage / Equalization, Battery Temperature sensor, Self-adaption to BMS, efficiency 99.…
Solar Inverter	Solar Inverter Giant HD-16KW For option 3	Giant HD-16K IP65, Wi-Fi and mobile application.Connect in parallel to units. Lead-acid or Li-Ion , 3 Stage / Equalization, Battery Temperature sensor, Self-adaption to BMS, effic…
Solar Inverter	Solar Inverter Giant HD-18KW	Giant HD-18K IP65, Wi-Fi and mobile application.Connect in parallel to units. Lead-acid or Li-Ion , 3 Stage / Equalization, Battery Temperature sensor, Self-adaption to BMS, effic…
Solar Inverter	Solar Inverter Giant HD-20KW	Giant HD-20K Three phase IP65, Wi-Fi and mobile application.Connect in parallel to units. Lead-acid or Li-Ion , 3 Stage / Equalization, Battery Temperature sensor, Self-adaption t…
Solar Inverter	Solar Inverter Giant HD-6Kw	IP65, Aluminum case, Wi-Fi and mobile application. RS485, CAN Connect in parallel up to 16 units 1Ph. Lead-acid or Li-Ion, 40-60 VDC, Charging current 135A, 3 Stage / Equalization…
Solar Inverter	Solar Inverter Giant HD-6KW for option 2	Giant HD-6K IP65, Wi-Fi and mobile application.Connect in parallel to units. Lead-acid or Li-Ion , 3 Stage / Equalization, Battery Temperature sensor, Self-adaption to BMS, effici…
Solar Inverter	Solar Inverter Giant HD-8Kw	IP65, Aluminum case, Wi-Fi and mobile application. RS485, CAN Connect in parallel up to 16 units 1Ph/3Ph.Lead-acid or Li-Ion ,40-60 VDC Charging current 190 A, 3 Stage / Equalizat…
Solar Inverter	Solar Inverter Roypow 6.5KW	Roypow PowerBase RS6500, 6.5 kW Single-Phase Hybrid Inverter, IP54, Wi-Fi / CAN / RS485 communication, Mobile App & OTA updates, Parallel connection up to 12 units, Lead-acid & Li…
Solar Inverter	Solar Inverter Roypow 6.5KW For option 2	Roypow PowerBase RS6500, 6.5 kW Single-Phase Hybrid Inverter, IP54, Wi-Fi / CAN / RS485 communication, Mobile App & OTA updates, Parallel connection up to 12 units, Lead-acid & Li…
Solar Inverter	Solar Inverter Roypow 6.5KW for option 3	Roypow PowerBase RS6500, 6.5 kW Single-Phase Hybrid Inverter, IP54, Wi-Fi / CAN / RS485 communication, Mobile App & OTA updates, Parallel connection up to 12 units, Lead-acid & Li…
Solar Inverter	Solar On-Grid Inverter	On-Grid Deye 33KW Inverters, IP65 Ingress Protection, Max Efficiency 97.5% MPPT Solar input, High Surge endurance Zero Export, High Power Factor RS485/RS232, WIFI Monitor and Cont…
Solar Panels	Huasun Everest G12 Series HS-210R-B132	Heterojunction Technology 615W, N-Type, HJT, Positive Power, 18 Busbar, Bificial Temperature coefficient of Pmax -0.24 %/°C CLASS A Free PID and Free LID Modules Per Container: 720
Solar Array Structure	Solar Array Structure installation	Solar Array structure installation and solar panel installation on the structure with transportation
Solar Panels	Solar Heterojunction Panels	Solar Panels 615 Watt, N-Type, HJT, Bifacial, Half-Cut cell, Positive Power, 0Busbar Temperature coefficient -0.24 %/°C CLASS-A PID and LID FREE Heterojunction - New Technology
Solar Panels	Solar Panels	Heterojunction Technology 615, N-Type, HJT, Positive Power, 18 Busbar, Bificial Temperature coefficient -0.24 %/°C CLASS A Free PID and Free LID
Solar Panels	Solar Panels ABC - 645W	ABC Technology 645, N-Type, AIKO Positive Power, 0 Busbar, Bificial Temperature coefficient -0.26 %/°C CLASS A Free PID and Free LID
Solar Panels	Solar Panels IGP-HJT-B455	615W, MONO, N-Type, HJT, Bifacial, 615-Watt, Mono, Half-Cut cell, Positive Power, 18- Busbar, Temperature coefficient -0.24 %/°C CLASS A, - FREE PID - FREE LID New Technology.
Solar Panels	Solar Panels IGP-HJT-B580	Heterojunction Technology, N-Type, HJT, Bifacial Positive Power, 18 Busbar Temperature coefficient -0.26 %/°C CLASS A Free PID and Free LID 580 Watt HJT Panel One of the 10 best b…
Solar Panels	Solar Panels IGP-HJT-B610	Heterojunction Technology 610, N-Type, HJT, Positive Power, 18 Busbar, Bificial Temperature coefficient -0.24 %/°C CLASS A Free PID and Free LID
Solar Panels	Solar Panels IGP-HJT-B615	Heterojunction Technology 615W, N-Type, HJT, Positive Power, 18 Busbar, Bificial Temperature coefficient -0.24 %/°C CLASS A Free PID and Free LID
Solar Panels	Solar Panels IGP-HJT-B620	Heterojunction Technology 615W, N-Type, HJT, Positive Power, 0 Busbar, Bificial Temperature coefficient -0.24 %/°C CLASS A Free PID and Free LID
