Solar Inverter	Giant On-Grid 20kW Inverter	20 kW Giant on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, surge endurance, RS485/RS232, and Wi-…
Solar Inverter	Giant On-Grid 25kW Inverter	25 kW Giant on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, surge endurance, RS485/RS232, and Wi-…
Solar Inverter	Giant On-Grid 33kW Inverter	33 kW Giant on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, surge endurance, RS485/RS232, and Wi-…
Solar Inverter	Giant On-Grid 50kW Inverter	50 kW Giant on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, surge endurance, RS485/RS232, and Wi-…
Solar Inverter	Giant On-Grid 70kW Inverter	70 kW three-phase on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, surge endurance, RS485/RS232, a…
Solar Inverter	Giant On-Grid 75kW Inverter	75 kW Giant on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, surge endurance, RS485/RS232, and Wi-…
Solar Inverter	Giant On-Grid 100kW Inverter	100 kW Giant on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, surge endurance, RS485/RS232, and Wi…
Solar Inverter	Deye or Solis On-Grid 110kW Inverter	110 kW industrial on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, surge endurance, RS485/RS232, a…
Solar Inverter	Deye On-Grid 33kW Inverter	33 kW Deye on-grid inverter with IP65 protection, MPPT solar input, maximum efficiency around 97.5%, zero-export support, high power factor, RS485/RS232, and Wi-Fi monitoring.
Solar Inverter	Deye On-Grid 100kW Inverter	100 kW Deye on-grid inverter with IP65 protection, MPPT solar input, zero-export capability, high power factor, communications and Wi-Fi monitoring, and industrial electrical prot…
Inverters	Solar Pump Inverter 30kW	30 kW IP65 solar pump inverter for three-phase 380–440 V motors, with MPPT control, up to approximately 39 kW solar input, maximum DC voltage around 750 V, and variable 0–50/60 Hz…
Inverters	LAR100-4T-37G 37kW Solar Pump Inverter	37 kW IP65 solar pump inverter for three-phase 380–440 V motors, with one PV input string, up to approximately 50 kW solar input, maximum DC voltage around 750 V, recommended MPPT…
Inverters	Solar Pump Inverter 45kW	45 kW IP65 solar pump inverter for three-phase 380–440 V motors, with MPPT control, up to approximately 50 kW solar input, maximum DC voltage around 750 V, and variable 0–50/60 Hz…
Batteries	Tubular Battery 12V 200Ah	12 V, 200 Ah C10 tubular lead-acid battery with net weight around 69 kg and more than 1,250 cycles at 80% depth of discharge under stated test conditions.
Lithium Battery	Lithium Battery 24V 200Ah	24 V, 200 Ah lithium battery with 16 cells, up to 100 A charging/discharging, RS485/CAN/RS232 communication, LCD screen, parallel connection support, and compatibility with Infini…
