Lightning System	Lightng system	Lightng system
Earthing System	Lightning protection And Erathing system	
Lightning System	Lightning System	Lightning protection System
Accessories	Meter	
Accessories	SPD ABB	SPD ABB-4P
Accessories	Zero export	zero export مانع الترجیع
Inverters	LAR100-4T-37G	Rated Power 37 kW, IP65 Input String 1 Max. Solar Input Power 50 kW Max. DC Input Voltage 750 V Adapting Motor Power 37 kW Adapting Motor Voltage 3PH 380-440V Recommended MPP Volt…
Inverters	Solar Pump Inverter	Rated Power 45 kW, IP65 Input String 1 Max. Solar Input Power 50 kW Max. DC Input Voltage 750 V Adapting Motor Power 37 kW Adapting Motor Voltage 3PH 380-440V Recommended MPP Volt…
Lithium Battery	Battery Lithium	16 Cells, C1, 3500 Cycle at 80% DOD,Nominal capacity 200Ah, Nominal voltage 24VDC, Maximum charging current 100A, Maximum discharge current 100A,Charging cut-off voltage 56.8V, Di…
Lithium Battery	Infinity Lithium Battery	16 Cells, C1, 3500 Cycle at 80% DOD,Nominal capacity 100Ah, Nominal voltage 48VDC, Maximum charging current 100A, Maximum discharge current 100A,Charging cut-off voltage 56.8V, Di…
Lithium Battery	Infinity Lithium Battery 300Ah	16 Cells, C1, 10000 Cycle at 80% DOD, Nominal capacity 300Ah, Nominal voltage 48VDC, Maximum charging current 200A, Maximum discharge current 200A, Charging cut-off voltage 57.6V,…
Lithium Battery	Infinity Lithium Battery 300Ah GBB	16 Cells, C1, 8000 Cycle at 80% DOD, Nominal capacity 300Ah, Nominal voltage 48VDC, Maximum charging current 200A, Maximum discharge current 200A, Charging cut-off voltage 57.6V,…
Solar Inverter	Inverter	Giant 3HD-12K IP65, Wi-Fi and mobile application.Connect in parallel up to 16 units 1Ph/3Ph. Lead-acid or Li-Ion , 3 Stage / Equalization, Battery Temperature sensor, Self-adaptio…
Lithium Battery	Lithium Battery	16 Cells, C1, 6000 Cycle at 80% DOD, Nominal capacity 300Ah, Nominal voltage 48VDC, Maximum charging current 200A, Maximum discharge current 200A, Charging cut-off voltage 57.6V,…
